return_type,parameter,releases_and_transfers,units
Pollution Inventory,Dichloromethane,Controlled Water,g
Pollution Inventory,Dichloromethane,Controlled Water,kg
Pollution Inventory,Dichloromethane,Controlled Water,kt
Pollution Inventory,Dichloromethane,Controlled Water,mg
Pollution Inventory,Dichloromethane,Controlled Water,t
Pollution Inventory,Dichloromethane,General,g
Pollution Inventory,Dichloromethane,General,kg
Pollution Inventory,Dichloromethane,General,kt
Pollution Inventory,Dichloromethane,General,mg
Pollution Inventory,Dichloromethane,General,t
Pollution Inventory,Dichloromethane,Land,g
Pollution Inventory,Dichloromethane,Land,kg
Pollution Inventory,Dichloromethane,Land,kt
Pollution Inventory,Dichloromethane,Land,mg
Pollution Inventory,Dichloromethane,Land,t
Pollution Inventory,Dichloromethane,Waste Overseas,g
Pollution Inventory,Dichloromethane,Waste Overseas,kg
Pollution Inventory,Dichloromethane,Waste Overseas,kt
Pollution Inventory,Dichloromethane,Waste Overseas,mg
Pollution Inventory,Dichloromethane,Waste Overseas,t
Pollution Inventory,Dichloromethane,Waste Transfer,g
Pollution Inventory,Dichloromethane,Waste Transfer,kg
Pollution Inventory,Dichloromethane,Waste Transfer,kt
Pollution Inventory,Dichloromethane,Waste Transfer,mg
Pollution Inventory,Dichloromethane,Waste Transfer,t
Pollution Inventory,Dichloromethane,Waste Water,g
Pollution Inventory,Dichloromethane,Waste Water,kg
Pollution Inventory,Dichloromethane,Waste Water,kt
Pollution Inventory,Dichloromethane,Waste Water,mg
Pollution Inventory,Dichloromethane,Waste Water,t
Pollution Inventory,Dichlorvos,Air,g
Pollution Inventory,Dichlorvos,Air,kg
Pollution Inventory,Dichlorvos,Air,kt
Pollution Inventory,Dichlorvos,Air,mg
Pollution Inventory,Dichlorvos,Air,t
Pollution Inventory,Dichlorvos,Controlled Water,g
Pollution Inventory,Dichlorvos,Controlled Water,kg
Pollution Inventory,Dichlorvos,Controlled Water,kt
Pollution Inventory,Dichlorvos,Controlled Water,mg
Pollution Inventory,Dichlorvos,Controlled Water,t
Pollution Inventory,Dichlorvos,General,g
Pollution Inventory,Dichlorvos,General,kg
Pollution Inventory,Dichlorvos,General,kt
Pollution Inventory,Dichlorvos,General,mg
Pollution Inventory,Dichlorvos,General,t
Pollution Inventory,Dichlorvos,Land,g
Pollution Inventory,Dichlorvos,Land,kg
Pollution Inventory,Dichlorvos,Land,kt
Pollution Inventory,Dichlorvos,Land,mg
Pollution Inventory,Dichlorvos,Land,t
Pollution Inventory,Dichlorvos,Waste Overseas,g
Pollution Inventory,Dichlorvos,Waste Overseas,kg
Pollution Inventory,Dichlorvos,Waste Overseas,kt
Pollution Inventory,Dichlorvos,Waste Overseas,mg
Pollution Inventory,Dichlorvos,Waste Overseas,t
Pollution Inventory,Dichlorvos,Waste Transfer,g
Pollution Inventory,Dichlorvos,Waste Transfer,kg
Pollution Inventory,Dichlorvos,Waste Transfer,kt
Pollution Inventory,Dichlorvos,Waste Transfer,mg
Pollution Inventory,Dichlorvos,Waste Transfer,t
Pollution Inventory,Dichlorvos,Waste Water,g
Pollution Inventory,Dichlorvos,Waste Water,kg
Pollution Inventory,Dichlorvos,Waste Water,kt
Pollution Inventory,Dichlorvos,Waste Water,mg
Pollution Inventory,Dichlorvos,Waste Water,t
Pollution Inventory,Dieldrin,Air,g
Pollution Inventory,Dieldrin,Air,kt
Pollution Inventory,Dieldrin,Air,mg
Pollution Inventory,Dieldrin,Air,t
Pollution Inventory,Dieldrin,Controlled Water,g
Pollution Inventory,Dieldrin,Controlled Water,kg
Pollution Inventory,Dieldrin,Controlled Water,kt
Pollution Inventory,Dieldrin,Controlled Water,mg
Pollution Inventory,Dieldrin,Controlled Water,t
Pollution Inventory,Dieldrin,General,g
Pollution Inventory,Dieldrin,General,kg
Pollution Inventory,Dieldrin,General,kt
Pollution Inventory,Dieldrin,General,mg
Pollution Inventory,Dieldrin,General,t
Pollution Inventory,Dieldrin,Land,g
Pollution Inventory,Dieldrin,Land,kg
Pollution Inventory,Dieldrin,Land,kt
Pollution Inventory,Dieldrin,Land,mg
Pollution Inventory,Dieldrin,Land,t
Pollution Inventory,Dieldrin,Waste Overseas,g
Pollution Inventory,Dieldrin,Waste Overseas,kg
Pollution Inventory,Dieldrin,Waste Overseas,kt
Pollution Inventory,Dieldrin,Waste Overseas,mg
Pollution Inventory,Dieldrin,Waste Overseas,t
Pollution Inventory,Dieldrin,Waste Transfer,g
Pollution Inventory,Dieldrin,Waste Transfer,kg
Pollution Inventory,Dieldrin,Waste Transfer,kt
Pollution Inventory,Dieldrin,Waste Transfer,mg
Pollution Inventory,Dieldrin,Waste Transfer,t
Pollution Inventory,Dieldrin,Waste Water,g
Pollution Inventory,Dieldrin,Waste Water,kg
Pollution Inventory,Dieldrin,Waste Water,kt
Pollution Inventory,Dieldrin,Waste Water,mg
Pollution Inventory,Dieldrin,Waste Water,t
Pollution Inventory,Di-n-octyl phthalate,Air,g
Pollution Inventory,Di-n-octyl phthalate,Air,kg
Pollution Inventory,Di-n-octyl phthalate,Air,kt
Pollution Inventory,Di-n-octyl phthalate,Air,mg
Pollution Inventory,Di-n-octyl phthalate,Air,t
Pollution Inventory,Di-n-octyl phthalate,Controlled Water,g
Pollution Inventory,Di-n-octyl phthalate,Controlled Water,kg
Pollution Inventory,Di-n-octyl phthalate,Controlled Water,kt
Pollution Inventory,Di-n-octyl phthalate,Controlled Water,mg
Pollution Inventory,Di-n-octyl phthalate,Controlled Water,t
Pollution Inventory,Di-n-octyl phthalate,General,g
Pollution Inventory,Di-n-octyl phthalate,General,kg
Pollution Inventory,Di-n-octyl phthalate,General,kt
Pollution Inventory,Di-n-octyl phthalate,General,mg
Pollution Inventory,Di-n-octyl phthalate,General,t
Pollution Inventory,Di-n-octyl phthalate,Land,g
Pollution Inventory,Di-n-octyl phthalate,Land,kg
Pollution Inventory,Di-n-octyl phthalate,Land,kt
Pollution Inventory,Di-n-octyl phthalate,Land,mg
Pollution Inventory,Di-n-octyl phthalate,Land,t
Pollution Inventory,Di-n-octyl phthalate,Waste Overseas,g
Pollution Inventory,Di-n-octyl phthalate,Waste Overseas,kg
Pollution Inventory,Di-n-octyl phthalate,Waste Overseas,kt
Pollution Inventory,Di-n-octyl phthalate,Waste Overseas,mg
Pollution Inventory,Di-n-octyl phthalate,Waste Overseas,t
Pollution Inventory,Di-n-octyl phthalate,Waste Transfer,g
Pollution Inventory,Di-n-octyl phthalate,Waste Transfer,kg
Pollution Inventory,Di-n-octyl phthalate,Waste Transfer,kt
Pollution Inventory,Di-n-octyl phthalate,Waste Transfer,mg
Pollution Inventory,Di-n-octyl phthalate,Waste Transfer,t
Pollution Inventory,Di-n-octyl phthalate,Waste Water,g
Pollution Inventory,Di-n-octyl phthalate,Waste Water,kg
Pollution Inventory,Di-n-octyl phthalate,Waste Water,kt
Pollution Inventory,Di-n-octyl phthalate,Waste Water,mg
Pollution Inventory,Di-n-octyl phthalate,Waste Water,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Air,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Air,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Air,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Air,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Air,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Controlled Water,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Controlled Water,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Controlled Water,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Controlled Water,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Controlled Water,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,General,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,General,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,General,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,General,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,General,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Land,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Land,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Land,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Land,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Land,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Overseas,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Overseas,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Overseas,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Overseas,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Overseas,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Transfer,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Transfer,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Transfer,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Transfer,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Transfer,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Water,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Water,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Water,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Water,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as ITEQ,Waste Water,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Air,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Air,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Air,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Air,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Air,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Controlled Water,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Controlled Water,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Controlled Water,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Controlled Water,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Controlled Water,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,General,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,General,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,General,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,General,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,General,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Land,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Land,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Land,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Land,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Land,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Overseas,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Overseas,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Overseas,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Overseas,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Overseas,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Transfer,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Transfer,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Transfer,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Transfer,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Transfer,t
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Water,g
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Water,kg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Water,kt
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Water,mg
Pollution Inventory,Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ,Waste Water,t
Pollution Inventory,Diuron,Air,g
Pollution Inventory,Diuron,Air,kg
Pollution Inventory,Diuron,Air,kt
Pollution Inventory,Diuron,Air,mg
Pollution Inventory,Diuron,Air,t
Pollution Inventory,Diuron,Controlled Water,g
Pollution Inventory,Diuron,Controlled Water,kg
Pollution Inventory,Diuron,Controlled Water,kt
Pollution Inventory,Diuron,Controlled Water,mg
Pollution Inventory,Diuron,Controlled Water,t
Pollution Inventory,Diuron,General,g
Pollution Inventory,Diuron,General,kg
Pollution Inventory,Diuron,General,kt
Pollution Inventory,Diuron,General,mg
Pollution Inventory,Diuron,General,t
Pollution Inventory,Diuron,Land,g
Pollution Inventory,Diuron,Land,kg
Pollution Inventory,Diuron,Land,kt
Pollution Inventory,Diuron,Land,mg
Pollution Inventory,Diuron,Land,t
Pollution Inventory,Diuron,Waste Overseas,g
Pollution Inventory,Diuron,Waste Overseas,kg
Pollution Inventory,Diuron,Waste Overseas,kt
Pollution Inventory,Diuron,Waste Overseas,mg
Pollution Inventory,Diuron,Waste Overseas,t
Pollution Inventory,Diuron,Waste Transfer,g
Pollution Inventory,Diuron,Waste Transfer,kg
Pollution Inventory,Diuron,Waste Transfer,kt
Pollution Inventory,Diuron,Waste Transfer,mg
Pollution Inventory,Diuron,Waste Transfer,t
Pollution Inventory,Diuron,Waste Water,g
Pollution Inventory,Diuron,Waste Water,kg
Pollution Inventory,Diuron,Waste Water,kt
Pollution Inventory,Diuron,Waste Water,mg
Pollution Inventory,Diuron,Waste Water,t
Pollution Inventory,Endosulfan,Air,g
Pollution Inventory,Endosulfan,Air,kg
Pollution Inventory,Endosulfan,Air,kt
Pollution Inventory,Endosulfan,Air,mg
Pollution Inventory,Endosulfan,Air,t
Pollution Inventory,Endosulfan,Controlled Water,g
Pollution Inventory,Endosulfan,Controlled Water,kg
Pollution Inventory,Endosulfan,Controlled Water,kt
Pollution Inventory,Endosulfan,Controlled Water,mg
Pollution Inventory,Endosulfan,Controlled Water,t
Pollution Inventory,Endosulfan,General,g
Pollution Inventory,Endosulfan,General,kg
Pollution Inventory,Endosulfan,General,kt
Pollution Inventory,Endosulfan,General,mg
Pollution Inventory,Endosulfan,General,t
Pollution Inventory,Endosulfan,Land,g
Pollution Inventory,Endosulfan,Land,kg
Pollution Inventory,Endosulfan,Land,kt
Pollution Inventory,Endosulfan,Land,mg
Pollution Inventory,Endosulfan,Land,t
Pollution Inventory,Endosulfan,Waste Overseas,g
Pollution Inventory,Endosulfan,Waste Overseas,kg
Pollution Inventory,Endosulfan,Waste Overseas,kt
Pollution Inventory,Endosulfan,Waste Overseas,mg
Pollution Inventory,Endosulfan,Waste Overseas,t
Pollution Inventory,Endosulfan,Waste Transfer,g
Pollution Inventory,Endosulfan,Waste Transfer,kg
Pollution Inventory,Endosulfan,Waste Transfer,kt
Pollution Inventory,Endosulfan,Waste Transfer,mg
Pollution Inventory,Endosulfan,Waste Transfer,t
Pollution Inventory,Endosulfan,Waste Water,g
Pollution Inventory,Endosulfan,Waste Water,kg
Pollution Inventory,Endosulfan,Waste Water,kt
Pollution Inventory,Endosulfan,Waste Water,mg
Pollution Inventory,Endosulfan,Waste Water,t
Pollution Inventory,Endrin,Air,g
Pollution Inventory,Endrin,Air,kg
Pollution Inventory,Endrin,Air,kt
Pollution Inventory,Endrin,Air,mg
Pollution Inventory,Endrin,Air,t
Pollution Inventory,Endrin,Controlled Water,g
Pollution Inventory,Endrin,Controlled Water,kg
Pollution Inventory,Endrin,Controlled Water,kt
Pollution Inventory,Endrin,Controlled Water,mg
Pollution Inventory,Endrin,Controlled Water,t
Pollution Inventory,Endrin,General,g
Pollution Inventory,Endrin,General,kg
Pollution Inventory,Endrin,General,kt
Pollution Inventory,Endrin,General,mg
Pollution Inventory,Endrin,General,t
Pollution Inventory,Endrin,Land,g
Pollution Inventory,Endrin,Land,kg
Pollution Inventory,Endrin,Land,kt
Pollution Inventory,Endrin,Land,mg
Pollution Inventory,Endrin,Land,t
Pollution Inventory,Endrin,Waste Overseas,g
Pollution Inventory,Endrin,Waste Overseas,kg
Pollution Inventory,Endrin,Waste Overseas,kt
Pollution Inventory,Endrin,Waste Overseas,mg
Pollution Inventory,Endrin,Waste Overseas,t
Pollution Inventory,Endrin,Waste Transfer,g
Pollution Inventory,Endrin,Waste Transfer,kg
Pollution Inventory,Endrin,Waste Transfer,kt
Pollution Inventory,Endrin,Waste Transfer,mg
Pollution Inventory,Endrin,Waste Transfer,t
Pollution Inventory,Endrin,Waste Water,g
Pollution Inventory,Endrin,Waste Water,kg
Pollution Inventory,Endrin,Waste Water,kt
Pollution Inventory,Endrin,Waste Water,mg
Pollution Inventory,Endrin,Waste Water,t
Pollution Inventory,Erbium - 169,Air,g
Pollution Inventory,Erbium - 169,Air,kg
Pollution Inventory,Erbium - 169,Air,kt
Pollution Inventory,Erbium - 169,Air,mg
Pollution Inventory,Erbium - 169,Air,t
Pollution Inventory,Erbium - 169,Controlled Water,g
Pollution Inventory,Erbium - 169,Controlled Water,kg
Pollution Inventory,Erbium - 169,Controlled Water,kt
Pollution Inventory,Erbium - 169,Controlled Water,mg
Pollution Inventory,Erbium - 169,Controlled Water,t
Pollution Inventory,Erbium - 169,General,g
Pollution Inventory,Erbium - 169,General,kg
Pollution Inventory,Erbium - 169,General,kt
Pollution Inventory,Erbium - 169,General,mg
Pollution Inventory,Erbium - 169,General,t
Pollution Inventory,Erbium - 169,Land,g
Pollution Inventory,Erbium - 169,Land,kg
Pollution Inventory,Erbium - 169,Land,kt
Pollution Inventory,Erbium - 169,Land,mg
Pollution Inventory,Erbium - 169,Land,t
Pollution Inventory,Erbium - 169,Waste Overseas,g
Pollution Inventory,Erbium - 169,Waste Overseas,kg
Pollution Inventory,Erbium - 169,Waste Overseas,kt
Pollution Inventory,Erbium - 169,Waste Overseas,mg
Pollution Inventory,Erbium - 169,Waste Overseas,t
Pollution Inventory,Erbium - 169,Waste Transfer,g
Pollution Inventory,Erbium - 169,Waste Transfer,kg
Pollution Inventory,Erbium - 169,Waste Transfer,kt
Pollution Inventory,Erbium - 169,Waste Transfer,mg
Pollution Inventory,Erbium - 169,Waste Transfer,t
Pollution Inventory,Erbium - 169,Waste Water,g
Pollution Inventory,Erbium - 169,Waste Water,kg
Pollution Inventory,Erbium - 169,Waste Water,kt
Pollution Inventory,Erbium - 169,Waste Water,mg
Pollution Inventory,Erbium - 169,Waste Water,t
Pollution Inventory,Ethylbenzene,Air,g
Pollution Inventory,Ethylbenzene,Air,kg
Pollution Inventory,Ethylbenzene,Air,kt
Pollution Inventory,Ethylbenzene,Air,mg
Pollution Inventory,Ethylbenzene,Air,t
Pollution Inventory,Ethylbenzene,Controlled Water,g
Pollution Inventory,Ethylbenzene,Controlled Water,kg
Pollution Inventory,Ethylbenzene,Controlled Water,kt
Pollution Inventory,Ethylbenzene,Controlled Water,mg
Pollution Inventory,Ethylbenzene,Controlled Water,t
Pollution Inventory,HCH-gamma,Land,kt
Pollution Inventory,Ethylbenzene,General,g
Pollution Inventory,Ethylbenzene,General,kg
Pollution Inventory,Ethylbenzene,General,kt
Pollution Inventory,Ethylbenzene,General,mg
Pollution Inventory,Ethylbenzene,General,t
Pollution Inventory,Ethylbenzene,Land,g
Pollution Inventory,Ethylbenzene,Land,kg
Pollution Inventory,Ethylbenzene,Land,kt
Pollution Inventory,Ethylbenzene,Land,mg
Pollution Inventory,Ethylbenzene,Land,t
Pollution Inventory,Ethylbenzene,Waste Overseas,g
Pollution Inventory,Ethylbenzene,Waste Overseas,kg
Pollution Inventory,Ethylbenzene,Waste Overseas,kt
Pollution Inventory,Ethylbenzene,Waste Overseas,mg
Pollution Inventory,Ethylbenzene,Waste Overseas,t
Pollution Inventory,Ethylbenzene,Waste Transfer,g
Pollution Inventory,Ethylbenzene,Waste Transfer,kg
Pollution Inventory,Ethylbenzene,Waste Transfer,kt
Pollution Inventory,Ethylbenzene,Waste Transfer,mg
Pollution Inventory,Ethylbenzene,Waste Transfer,t
Pollution Inventory,Ethylbenzene,Waste Water,g
Pollution Inventory,Ethylbenzene,Waste Water,kg
Pollution Inventory,Ethylbenzene,Waste Water,kt
Pollution Inventory,Ethylbenzene,Waste Water,mg
Pollution Inventory,Ethylbenzene,Waste Water,t
Pollution Inventory,Fluoranthene,Air,g
Pollution Inventory,Fluoranthene,Air,kg
Pollution Inventory,Fluoranthene,Air,kt
Pollution Inventory,Fluoranthene,Air,mg
Pollution Inventory,Fluoranthene,Air,t
Pollution Inventory,Fluoranthene,Controlled Water,g
Pollution Inventory,Fluoranthene,Controlled Water,kg
Pollution Inventory,Fluoranthene,Controlled Water,kt
Pollution Inventory,Fluoranthene,Controlled Water,mg
Pollution Inventory,Fluoranthene,Controlled Water,t
Pollution Inventory,Fluoranthene,General,g
Pollution Inventory,Fluoranthene,General,kg
Pollution Inventory,Fluoranthene,General,kt
Pollution Inventory,Fluoranthene,General,mg
Pollution Inventory,Fluoranthene,General,t
Pollution Inventory,Fluoranthene,Land,g
Pollution Inventory,Fluoranthene,Land,kg
Pollution Inventory,Fluoranthene,Land,kt
Pollution Inventory,Fluoranthene,Land,mg
Pollution Inventory,Fluoranthene,Land,t
Pollution Inventory,Fluoranthene,Waste Overseas,g
Pollution Inventory,Fluoranthene,Waste Overseas,kg
Pollution Inventory,Fluoranthene,Waste Overseas,kt
Pollution Inventory,Fluoranthene,Waste Overseas,mg
Pollution Inventory,Fluoranthene,Waste Overseas,t
Pollution Inventory,Fluoranthene,Waste Transfer,g
Pollution Inventory,Fluoranthene,Waste Transfer,kg
Pollution Inventory,Fluoranthene,Waste Transfer,kt
Pollution Inventory,Fluoranthene,Waste Transfer,mg
Pollution Inventory,Fluoranthene,Waste Transfer,t
Pollution Inventory,Fluoranthene,Waste Water,g
Pollution Inventory,Fluoranthene,Waste Water,kg
Pollution Inventory,Fluoranthene,Waste Water,kt
Pollution Inventory,Fluoranthene,Waste Water,mg
Pollution Inventory,Fluoranthene,Waste Water,t
Pollution Inventory,Fluorine 18,Air,g
Pollution Inventory,Fluorine 18,Air,kg
Pollution Inventory,Fluorine 18,Air,kt
Pollution Inventory,Fluorine 18,Air,mg
Pollution Inventory,Fluorine 18,Air,t
Pollution Inventory,Fluorine 18,Controlled Water,g
Pollution Inventory,Fluorine 18,Controlled Water,kg
Pollution Inventory,Fluorine 18,Controlled Water,kt
Pollution Inventory,Fluorine 18,Controlled Water,mg
Pollution Inventory,Fluorine 18,Controlled Water,t
Pollution Inventory,Fluorine 18,General,g
Pollution Inventory,Fluorine 18,General,kg
Pollution Inventory,Fluorine 18,General,kt
Pollution Inventory,Fluorine 18,General,mg
Pollution Inventory,Fluorine 18,General,t
Pollution Inventory,Fluorine 18,Land,g
Pollution Inventory,Fluorine 18,Land,kg
Pollution Inventory,Fluorine 18,Land,kt
Pollution Inventory,Fluorine 18,Land,mg
Pollution Inventory,Fluorine 18,Land,t
Pollution Inventory,Fluorine 18,Waste Overseas,g
Pollution Inventory,Fluorine 18,Waste Overseas,kg
Pollution Inventory,Fluorine 18,Waste Overseas,kt
Pollution Inventory,Fluorine 18,Waste Overseas,mg
Pollution Inventory,Fluorine 18,Waste Overseas,t
Pollution Inventory,Fluorine 18,Waste Transfer,g
Pollution Inventory,Fluorine 18,Waste Transfer,kg
Pollution Inventory,Fluorine 18,Waste Transfer,kt
Pollution Inventory,Fluorine 18,Waste Transfer,mg
Pollution Inventory,Fluorine 18,Waste Transfer,t
Pollution Inventory,Fluorine 18,Waste Water,g
Pollution Inventory,Fluorine 18,Waste Water,kg
Pollution Inventory,Fluorine 18,Waste Water,kt
Pollution Inventory,Fluorine 18,Waste Water,mg
Pollution Inventory,Fluorine 18,Waste Water,t
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Air,g
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Air,kg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Air,kt
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Air,mg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Air,t
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Controlled Water,g
Pollution Inventory,HCH-gamma,Land,mg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Controlled Water,kg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Controlled Water,kt
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Controlled Water,mg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Controlled Water,t
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,General,g
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,General,kg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,General,kt
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,General,mg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,General,t
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Land,g
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Land,kg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Land,kt
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Land,mg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Land,t
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Overseas,g
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Overseas,kg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Overseas,kt
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Overseas,mg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Overseas,t
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Transfer,g
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Transfer,kg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Transfer,kt
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Transfer,mg
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Transfer,t
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Water,g
Pollution Inventory,Fluorine and inorganic fluorine compounds - as HF,Waste Water,kg
