"EA_ID","SITE","ALTERNATIVES"
70580,"Brixworth Landfill Site","BB3800CD"
70583,"Kilsby Landfill Phases 1 To 6","BP3895NX"
70611,"Cranford Landfill Site","BB3706GH"
70647,"Wootton Landfill","UP3795NQ"
70670,"Sidegate Lane Landfill Site","BB3800MX"
70707,"Fornham St Genevieve Landfill","FP3995NC"
70713,"Lackford Landfill","FP3195ND"
70723,"Waldringfield Quarry","CP3195NW"
70807,"Winterton Landfill Site","DP3495NP"
70829,"Dragonby Landfill Site A","YP3195NE"
70913,"Manor Pit","EB3407LN"
71061,"Luffenham Landfill Site","CP3398NL"
73011,"Eye Quarry - Northern Extension","AP3697LL"
80000,"Pickeridge Farm Quarry","CP3896NT"
80023,"Cripps Farm, Hillingdon","NP3496NC"
80024,"Colnbrook By-pass, Hillingdon","NP3296NK"
80215,"Westmill 1 Landfill Site","GP3991NU"
80462,"Aveley No3 Clay Pit","AP3291LG"
80463,"Aveley No2 Clay Pit","AP3293MC"
80464,"Aveley No2a Clay Pit","MP3097NU"
80465,"Mill Lane Landfill","MP3997NQ"
80466,"Mill Lane Landfill (2)","MP3597NE"
80502,"Leachate Treatment Plant","GP3597NT"
80508,"Mill Mane Landfill","GP3697NF"
83021,"Kingsley Quarry (lode Fm Sandpit), Gu35","KP3393EV"
83040,"Sandy Cross, Seale, Farnham, Gu10","TP3493EL"
83041,"Seale Lodge Sandpit, Seale, Farnham Gu10","TP3293EQ"
83063,"Norlands Lane Landfill Site","AP3091SH"
83115,"Runfold South ( Hogs Back Sandpit)","VP3193EQ"
83122,"Runfold North Landfill","AB3801MG"
83139,"Wraysbury Landfill Site","RP3093EW"
83172,"East Of Molesey Road","JP3393EE"
83211,"Beddington Corner Landfill","BP3690EG"
83305,"Seale Lodge Landfill","HP3490ET"
83328,"Runfold Landfill Site Southern Extension  Area B","CP3990EN"
86034,"Beenham Stage 4","XP3599EY"
86140,"Ewelme 2","EP3799EX"
