permit,long_name
LP3939HN,LP3939HN - Boston Landfill Site
MP3234SS,MP3234SS - Coatham Stob Quarry (Area 6)
MP3435KP,MP3435KP - Elsenham Landfill Site
MP3439MH,MP3439MH - United Mines Landfill
MP3933CJ,MP3933CJ - BURGHFIELD LANDFILL
NP3036KR,NP3036KR - WITCHAM MEADLANDS LANDFILL
NP3135SL,NP3135SL - Highfields South Landfill Site
NP3139PK,NP3139PK - Harmondsworth Landfill Site
NP3235SU,NP3235SU - Hempsted Landfill Site
NP3333LD,NP3333LD - William Lee Landfill Site
NP3435PX,NP3435PX - Ufton Farm Landfill Site
NP3538MF,NP3538MF - Daneshill Landfill Site
NP3635SZ,NP3635SZ - Kingsbury Landfill
NP3736GU,NP3736GU - Ockendon Area II & III Landfill
NP3934LH,NP3934LH - Parkgate Farm Hazardous waste landfill
PP3032SY,PP3032SY - Deerplay Landfill Gas Utilisation Scheme
PP3037FA,PP3037FA - Bredbury Parkway HWRC
PP3133TS,PP3133TS - LEADENHAM LANDFILL
PP3134SL,PP3134SL - Corby Landfill Site
PP3135SU,PP3135SU - Brittons Hall Farm Landfill site
PP3234MQ,PP3234MQ - Crosby North Landfill
PP3430BK,PP3430BK - Kirkby on Bain Landfill site
PP3630BC,PP3630BC - KENWICK LANDFILL
PP3730LP,PP3730LP - Welby Tip
PP3734SE,PP3734SE - Cranford Landfill Site
PP3735SW,PP3735SW - Ugley Landfill
PP3830BV,PP3830BV - Immingham Landill Site
PP3935CU,PP3935CU - Martells Quarry Landfill
QP3033BG,QP3033BG - Bramford Landfill Site
QP3038HQ,QP3038HQ - Shardlow Quarry Landfill
QP3230LE,QP3230LE - Whiscombe Hill Landfill
QP3334SK,QP3334SK - Yarborough Quarry
QP3539XL,QP3539XL - WINTERTON LANDFILL
QP3931PF,QP3931PF - Winterton Effluent Treatment Plant
QP3938LY,QP3938LY - Foxhall Generation Plant
RP3039SZ,RP3039SZ - South Pit Phase 3 Landfill
RP3133PP,RP3133PP - Thornhaugh Landfill Site
RP3231XX,RP3231XX - Wood Lane Landfill Site
RP3332KY,RP3332KY - Lane Side Quarry Landfill Site
RP3434HP,RP3434HP - CLE 3/8 Landfill Site
RP3530BC,RP3530BC - Broadpath
RP3539SQ,RP3539SQ - Slape Hill Landfill Site
RP3732SZ,RP3732SZ - Buckden Landfill Site
RP3738ZK,RP3738ZK - Enderby Leachate Treatment Plant
SP3035SX,SP3035SX - Wingmoor Farm Landfill Site
SP3131GC,SP3131GC - Runfold South Landfill Areas A and C
SP3236SC,SP3236SC - Calne Sand Pit Landfill
SP3239BB,SP3239BB - Folly Farm Landfill
SP3336SN,SP3336SN - Park Grounds Landfill
TP3030BM,TP3030BM - Caulklands Quarry Landfill Site
TP3430GW,TP3430GW - East Northants Resource Management Facility
TP3538UB,TP3538UB - Mucking Generation Plant
TP3735PA,TP3735PA - Aycliffe Quarry Landfill
TP3830BD,TP3830BD - Copley Lane Quarry
TP3838PS,TP3838PS - Standen Heath Landfill Site
UP3139BB,UP3139BB - Dimmer Landfill Site
UP3630KS,UP3630KS - Highmoor Quarry Landfill
UP3639LY,UP3639LY - DANES MOSS LANDFILL
UP3730LU,UP3730LU - Poplars Landfill Gas Utilisation Plant
UP3830NT,UP3830NT - Oak Farm Quarry Landfill
UP3939MM,UP3939MM - Connon Bridge Landfill
VP3036GQ,VP3036GQ - Sandy Lane Landfill Site
VP3039SW,VP3039SW - Beddington Farmlands Landfill Site
VP3130BK,VP3130BK - NETTLETON BOTTOM QUARRY
VP3230BH,VP3230BH - GALLYMOOR LANDFILL
